index,ip_source,ip_destination,is_anomaly,source_pod_label,source_namespace_label,source_port_label,destination_pod_label,destination_namespace_label,destination_port_label,ack_flag,psh_flag,timestamp,anomaly_class
776985,10.42.3.251,10.42.1.61,True,ddos-simulator-yellow-28718762-8lwmw,yellow,36872.0,color-app-yellow-6-97b9c49cc-7ct2r,yellow,80.0,False,False,2024-08-08T14:02:15.524819306Z,1
3310735,10.42.2.115,10.42.1.77,True,port-scanner-28718780-tlqcx,orange,34217.0,color-app-green-9-554764bc47-dnz2n,green,46978.0,False,False,2024-08-08T14:22:54.844866564Z,2
1537505,10.42.3.251,10.42.1.61,True,ddos-simulator-yellow-28718762-8lwmw,yellow,53862.0,color-app-yellow-6-97b9c49cc-7ct2r,yellow,80.0,False,False,2024-08-08T14:02:25.438968202Z,1
3558650,10.42.4.30,10.42.3.231,False,color-app-blue-20-5d94855dbb-2xj9z,blue,39888.0,color-app-blue-1-75f6479c47-pvzxg,blue,3000.0,True,False,2024-08-08T14:30:37.084002070Z,0
760861,10.42.2.4,10.42.2.189,False,color-app-green-12-d997bc58f-vl2xs,green,,coredns-6799fbcd5-8cvtr,kube-system,,False,False,2024-08-08T14:04:03.473234823Z,0
112096,10.42.4.175,10.42.0.225,True,ddos-simulator-blue-28718762-zlgx7,blue,42772.0,color-app-blue-7-68c8f7596-bc7l2,blue,80.0,False,False,2024-08-08T14:02:02.610224153Z,1
4381776,10.42.1.78,10.42.2.24,False,otelcol-daemonset-cwmt2,kube-system,42676.0,otel-backend-f5f46cbb5-xtjgm,otel-backend,8000.0,True,False,2024-08-08T14:13:04.463016318Z,0
3336463,10.42.0.101,10.42.0.191,True,ddos-simulator-green-28718772-h9hwz,green,55534.0,color-app-green-8-599dbb69d8-9mz6z,green,80.0,False,False,2024-08-08T14:12:26.060805822Z,1
3365311,10.42.2.115,10.42.1.77,True,port-scanner-28718780-tlqcx,orange,34217.0,color-app-green-9-554764bc47-dnz2n,green,52796.0,False,False,2024-08-08T14:22:56.389141253Z,2
3880295,10.42.4.238,10.42.0.143,True,ddos-simulator-yellow-28718795-lzbvb,yellow,60466.0,color-app-yellow-10-5c5cf86df4-jhxvt,yellow,80.0,False,False,2024-08-08T14:35:14.558430685Z,1
2016368,10.42.4.152,10.42.4.150,True,ddos-simulator-yellow-28718772-ntwbv,yellow,44800.0,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,False,False,2024-08-08T14:12:10.388983260Z,1
491633,10.42.2.67,10.42.3.201,True,ddos-simulator-red-28718762-4t8xb,red,37262.0,color-app-red-4-84d789dcb4-kxzwd,red,80.0,False,False,2024-08-08T14:02:32.858905122Z,1
3466555,10.42.4.238,10.42.0.143,True,ddos-simulator-yellow-28718795-lzbvb,yellow,58914.0,color-app-yellow-10-5c5cf86df4-jhxvt,yellow,80.0,False,False,2024-08-08T14:35:10.058588335Z,1
2644385,10.42.4.152,10.42.4.150,True,ddos-simulator-yellow-28718772-ntwbv,yellow,48504.0,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,False,False,2024-08-08T14:12:11.416526455Z,1
4970870,10.42.1.165,10.42.3.191,False,color-app-yellow-2-7d75f874b9-wb6zx,yellow,58892.0,color-app-yellow-1-7d6cfb85f-pnj5f,yellow,3000.0,True,False,2024-08-08T14:46:18.664868574Z,0
1449433,10.42.2.6,10.42.4.230,False,color-app-white-5-7c6d77746c-v6cl2,white,55084.0,color-app-white-2-594946b6f5-s9nzm,white,3000.0,True,False,2024-08-08T14:08:03.789964620Z,0
1959871,fe80::dc43:e4ff:fe87:47e,ff02::2,True,,,,,,,False,False,2024-08-08T14:12:02.562844354Z,3
691585,10.42.3.251,10.42.1.61,True,ddos-simulator-yellow-28718762-8lwmw,yellow,57302.0,color-app-yellow-6-97b9c49cc-7ct2r,yellow,80.0,False,False,2024-08-08T14:02:13.921700090Z,1
4244713,10.42.0.117,10.42.4.64,False,color-app-white-1-5df699b675-fbbhc,white,3000.0,color-app-white-6-744df7b595-d86rw,white,55866.0,True,False,2024-08-08T14:17:50.490887107Z,0
3539688,10.42.2.115,10.42.1.77,True,port-scanner-28718780-tlqcx,orange,34217.0,color-app-green-9-554764bc47-dnz2n,green,56341.0,False,False,2024-08-08T14:22:57.954758423Z,2
1200334,10.42.4.58,10.42.3.55,True,ddos-simulator-pink-28718762-fcxgl,pink,58128.0,color-app-pink-7-6dd49bf4b8-cv8rm,pink,80.0,False,False,2024-08-08T14:02:32.534718468Z,1
2999128,10.42.4.152,10.42.4.150,True,ddos-simulator-yellow-28718772-ntwbv,yellow,45642.0,color-app-yellow-8-77cb5686d4-shvsd,yellow,80.0,False,False,2024-08-08T14:12:21.776859549Z,1
4377707,10.42.4.238,10.42.0.143,True,ddos-simulator-yellow-28718795-lzbvb,yellow,38042.0,color-app-yellow-10-5c5cf86df4-jhxvt,yellow,80.0,False,False,2024-08-08T14:35:32.226260629Z,1
